# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.0659
_ch0_neuron0,	0.7226
_ch0_neuron0,	1.3856
_ch0_neuron0,	2.0387
_ch0_neuron0,	2.7295
_ch0_neuron0,	3.6935
_ch0_neuron0,	4.5935
_ch0_neuron0,	5.4638
_ch0_neuron0,	6.2105
_ch0_neuron0,	6.9122
_ch0_neuron0,	7.6132
_ch0_neuron0,	8.3679
_ch0_neuron0,	9.2022
_ch0_neuron0,	10.1055
_ch0_neuron0,	10.8926
_ch0_neuron0,	11.6278
_ch0_neuron0,	12.3325
_ch0_neuron0,	13.1153
_ch0_neuron0,	14.0734
_ch0_neuron0,	15.0267
_ch0_neuron0,	15.9139
_ch0_neuron0,	16.6703
_ch0_neuron0,	17.3614
_ch0_neuron0,	18.0202
_ch0_neuron0,	18.7217
_ch0_neuron0,	19.6945
_ch0_neuron0,	20.6580
_ch0_neuron0,	21.6089
_ch0_neuron0,	22.4361
_ch0_neuron0,	23.1704
_ch0_neuron0,	23.8905
_ch0_neuron0,	24.6548
_ch0_neuron0,	25.5989
_ch0_neuron0,	26.5116
_ch0_neuron0,	27.3479
_ch0_neuron0,	28.0961
_ch0_neuron0,	28.8222
_ch0_neuron0,	29.5858
_ch0_neuron0,	30.4578
_ch0_neuron0,	31.3433
_ch0_neuron0,	32.1595
_ch0_neuron0,	32.9047
_ch0_neuron0,	33.6241
_ch0_neuron0,	34.3629
_ch0_neuron0,	35.2473
_ch0_neuron0,	36.1339
_ch0_neuron0,	36.9817
_ch0_neuron0,	37.7188
_ch0_neuron0,	38.4145
_ch0_neuron0,	39.1120
_ch0_neuron0,	40.0703
_ch0_neuron0,	41.0375
_ch0_neuron0,	41.9939
_ch0_neuron0,	42.8941
_ch0_neuron0,	43.7015
_ch0_neuron0,	44.4333
_ch0_neuron0,	45.1277
_ch0_neuron0,	45.8200
_ch0_neuron0,	46.7750
_ch0_neuron0,	47.7102
_ch0_neuron0,	48.6184
_ch0_neuron0,	49.5084
_ch0_neuron0,	50.2862
_ch0_neuron0,	51.0477
_ch0_neuron0,	51.8307
_ch0_neuron0,	52.6574
_ch0_neuron0,	53.5122
_ch0_neuron0,	54.3713
_ch0_neuron0,	55.1945
_ch0_neuron0,	55.9549
_ch0_neuron0,	56.7158
_ch0_neuron0,	57.5335
_ch0_neuron0,	58.4334
_ch0_neuron0,	59.3109
_ch0_neuron0,	60.1783
_ch0_neuron0,	61.0239
_ch0_neuron0,	61.8196
_ch0_neuron0,	62.5599
_ch0_neuron0,	63.2684
_ch0_neuron0,	63.9760
_ch0_neuron0,	64.8729
_ch0_neuron0,	65.8626
_ch0_neuron0,	66.8052
_ch0_neuron0,	67.6813
_ch0_neuron0,	68.4475
_ch0_neuron0,	69.1656
_ch0_neuron0,	69.8794
_ch0_neuron0,	70.8383
_ch0_neuron0,	71.7943
_ch0_neuron0,	72.7007
_ch0_neuron0,	73.5765
_ch0_neuron0,	74.4191
_ch0_neuron0,	75.2504
_ch0_neuron0,	76.0555
_ch0_neuron0,	76.8088
_ch0_neuron0,	77.5192
_ch0_neuron0,	78.2235
_ch0_neuron0,	78.9674
