# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.0747
_ch0_neuron0,	0.8379
_ch0_neuron0,	1.6266
_ch0_neuron0,	2.4174
_ch0_neuron0,	3.2338
_ch0_neuron0,	4.0994
_ch0_neuron0,	4.9680
_ch0_neuron0,	5.8056
_ch0_neuron0,	6.6213
_ch0_neuron0,	7.3798
_ch0_neuron0,	8.1294
_ch0_neuron0,	8.8749
_ch0_neuron0,	9.6104
_ch0_neuron0,	10.3422
_ch0_neuron0,	11.0563
_ch0_neuron0,	11.7442
_ch0_neuron0,	12.4118
_ch0_neuron0,	13.1018
_ch0_neuron0,	13.8183
_ch0_neuron0,	14.5714
_ch0_neuron0,	15.3591
_ch0_neuron0,	16.1003
_ch0_neuron0,	16.8538
_ch0_neuron0,	17.5996
_ch0_neuron0,	18.3446
_ch0_neuron0,	19.0640
_ch0_neuron0,	19.7773
_ch0_neuron0,	20.4884
_ch0_neuron0,	21.2023
_ch0_neuron0,	21.9021
_ch0_neuron0,	22.5883
_ch0_neuron0,	23.2913
_ch0_neuron0,	23.9999
_ch0_neuron0,	24.7200
_ch0_neuron0,	25.4081
_ch0_neuron0,	26.1205
_ch0_neuron0,	26.8443
_ch0_neuron0,	27.5708
_ch0_neuron0,	28.2932
_ch0_neuron0,	28.9716
_ch0_neuron0,	29.6536
_ch0_neuron0,	30.3516
_ch0_neuron0,	31.0812
_ch0_neuron0,	31.6544
_ch0_neuron0,	31.8536
_ch0_neuron0,	32.6048
_ch0_neuron0,	33.2971
_ch0_neuron0,	33.9784
_ch0_neuron0,	34.6727
_ch0_neuron0,	35.3651
_ch0_neuron0,	36.0675
_ch0_neuron0,	36.7567
_ch0_neuron0,	37.4169
_ch0_neuron0,	38.0927
_ch0_neuron0,	38.7824
_ch0_neuron0,	39.4819
_ch0_neuron0,	40.1582
_ch0_neuron0,	40.7989
_ch0_neuron0,	41.4473
_ch0_neuron0,	42.0887
_ch0_neuron0,	42.7306
_ch0_neuron0,	43.3619
_ch0_neuron0,	43.9776
_ch0_neuron0,	44.5932
_ch0_neuron0,	45.2303
_ch0_neuron0,	45.9125
_ch0_neuron0,	46.6507
_ch0_neuron0,	47.3979
_ch0_neuron0,	48.1270
_ch0_neuron0,	48.8754
_ch0_neuron0,	49.6139
_ch0_neuron0,	50.3375
_ch0_neuron0,	51.0253
_ch0_neuron0,	51.7087
_ch0_neuron0,	52.3915
_ch0_neuron0,	53.0702
_ch0_neuron0,	53.7152
_ch0_neuron0,	54.3664
_ch0_neuron0,	55.0219
_ch0_neuron0,	55.6884
_ch0_neuron0,	56.3617
_ch0_neuron0,	57.0187
_ch0_neuron0,	57.6684
_ch0_neuron0,	58.3391
_ch0_neuron0,	59.0313
_ch0_neuron0,	59.7430
_ch0_neuron0,	60.4364
_ch0_neuron0,	61.1330
_ch0_neuron0,	61.8385
_ch0_neuron0,	62.5764
_ch0_neuron0,	63.3139
_ch0_neuron0,	64.0210
_ch0_neuron0,	64.7045
_ch0_neuron0,	65.3820
_ch0_neuron0,	66.0448
_ch0_neuron0,	66.6835
_ch0_neuron0,	67.3221
_ch0_neuron0,	67.9470
_ch0_neuron0,	68.5695
_ch0_neuron0,	69.1722
_ch0_neuron0,	69.7958
_ch0_neuron0,	70.4422
_ch0_neuron0,	71.1650
_ch0_neuron0,	71.8986
_ch0_neuron0,	72.6506
_ch0_neuron0,	73.4223
_ch0_neuron0,	74.2037
_ch0_neuron0,	74.9297
_ch0_neuron0,	75.6531
_ch0_neuron0,	76.3645
_ch0_neuron0,	77.0582
_ch0_neuron0,	77.7076
_ch0_neuron0,	78.3554
_ch0_neuron0,	79.0033
_ch0_neuron0,	79.6485
_ch0_neuron0,	80.2581
_ch0_neuron0,	80.8621
_ch0_neuron0,	81.4720
_ch0_neuron0,	82.0904
_ch0_neuron0,	82.7174
_ch0_neuron0,	83.3167
_ch0_neuron0,	83.9289
_ch0_neuron0,	84.5352
_ch0_neuron0,	85.1644
_ch0_neuron0,	85.7841
_ch0_neuron0,	86.4161
_ch0_neuron0,	87.0744
_ch0_neuron0,	87.7778
_ch0_neuron0,	88.4670
_ch0_neuron0,	89.1335
_ch0_neuron0,	89.8486
_ch0_neuron0,	90.5484
_ch0_neuron0,	91.2223
_ch0_neuron0,	91.8690
_ch0_neuron0,	92.5232
_ch0_neuron0,	93.1771
_ch0_neuron0,	93.8477
_ch0_neuron0,	94.5102
_ch0_neuron0,	95.1663
_ch0_neuron0,	95.8352
_ch0_neuron0,	96.5197
_ch0_neuron0,	97.2049
_ch0_neuron0,	97.8557
_ch0_neuron0,	98.5462
_ch0_neuron0,	99.2504
_ch0_neuron0,	99.9612
_ch0_neuron0,	100.6252
_ch0_neuron0,	101.3035
_ch0_neuron0,	101.9696
_ch0_neuron0,	102.6447
_ch0_neuron0,	103.2855
_ch0_neuron0,	103.9424
_ch0_neuron0,	104.6377
_ch0_neuron0,	105.3392
_ch0_neuron0,	106.0584
_ch0_neuron0,	106.7338
_ch0_neuron0,	107.4342
_ch0_neuron0,	108.1170
_ch0_neuron0,	108.7934
_ch0_neuron0,	109.4053
_ch0_neuron0,	110.0041
_ch0_neuron0,	110.6062
_ch0_neuron0,	111.2098
_ch0_neuron0,	111.7842
_ch0_neuron0,	112.3629
_ch0_neuron0,	112.9475
_ch0_neuron0,	113.5275
_ch0_neuron0,	114.0880
_ch0_neuron0,	114.6401
_ch0_neuron0,	115.1919
_ch0_neuron0,	115.7427
_ch0_neuron0,	116.2911
_ch0_neuron0,	116.8506
_ch0_neuron0,	117.4158
_ch0_neuron0,	117.9924
_ch0_neuron0,	118.5768
