# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.0736
_ch0_neuron0,	0.8186
_ch0_neuron0,	1.6311
_ch0_neuron0,	2.4245
_ch0_neuron0,	3.2466
_ch0_neuron0,	4.0465
_ch0_neuron0,	4.8503
_ch0_neuron0,	5.6652
_ch0_neuron0,	6.4867
_ch0_neuron0,	7.2748
_ch0_neuron0,	8.0479
_ch0_neuron0,	8.8078
_ch0_neuron0,	9.5629
_ch0_neuron0,	10.3261
_ch0_neuron0,	11.0989
_ch0_neuron0,	11.8694
_ch0_neuron0,	12.6552
_ch0_neuron0,	13.4233
_ch0_neuron0,	14.1869
_ch0_neuron0,	14.9347
_ch0_neuron0,	15.6736
_ch0_neuron0,	16.4102
_ch0_neuron0,	17.1641
_ch0_neuron0,	17.9117
_ch0_neuron0,	18.6760
_ch0_neuron0,	19.4454
_ch0_neuron0,	20.2394
_ch0_neuron0,	21.0482
_ch0_neuron0,	21.8809
_ch0_neuron0,	22.6900
_ch0_neuron0,	23.4943
_ch0_neuron0,	24.2898
_ch0_neuron0,	25.0764
_ch0_neuron0,	25.8354
_ch0_neuron0,	26.5926
_ch0_neuron0,	27.3306
_ch0_neuron0,	28.0851
_ch0_neuron0,	28.8473
_ch0_neuron0,	29.6291
_ch0_neuron0,	30.4278
_ch0_neuron0,	31.2642
_ch0_neuron0,	32.1043
_ch0_neuron0,	32.9570
_ch0_neuron0,	33.7787
_ch0_neuron0,	34.6050
_ch0_neuron0,	35.4095
_ch0_neuron0,	36.2191
_ch0_neuron0,	37.0105
_ch0_neuron0,	37.7421
_ch0_neuron0,	38.4109
_ch0_neuron0,	39.0865
_ch0_neuron0,	39.8091
_ch0_neuron0,	40.5762
_ch0_neuron0,	41.3705
_ch0_neuron0,	42.1655
_ch0_neuron0,	42.9760
_ch0_neuron0,	43.7915
_ch0_neuron0,	44.6097
_ch0_neuron0,	45.4515
_ch0_neuron0,	46.2896
_ch0_neuron0,	47.1343
_ch0_neuron0,	47.9633
_ch0_neuron0,	48.7903
_ch0_neuron0,	49.6017
_ch0_neuron0,	50.4115
_ch0_neuron0,	51.2334
_ch0_neuron0,	52.0500
_ch0_neuron0,	52.9000
_ch0_neuron0,	53.7456
_ch0_neuron0,	54.6007
_ch0_neuron0,	55.4447
_ch0_neuron0,	56.2877
_ch0_neuron0,	57.1237
_ch0_neuron0,	57.9460
_ch0_neuron0,	58.7460
_ch0_neuron0,	59.5343
_ch0_neuron0,	60.3162
_ch0_neuron0,	61.0679
_ch0_neuron0,	61.8096
_ch0_neuron0,	62.5713
_ch0_neuron0,	63.3644
_ch0_neuron0,	64.2139
_ch0_neuron0,	65.0840
_ch0_neuron0,	65.9671
_ch0_neuron0,	66.8363
