# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.2804
_ch0_neuron0,	1.1211
_ch0_neuron0,	1.9583
_ch0_neuron0,	2.7338
_ch0_neuron0,	3.5080
_ch0_neuron0,	4.3141
_ch0_neuron0,	5.1981
_ch0_neuron0,	6.9937
_ch0_neuron0,	7.8865
_ch0_neuron0,	8.7426
_ch0_neuron0,	9.5583
_ch0_neuron0,	10.3712
_ch0_neuron0,	11.1751
_ch0_neuron0,	11.9593
_ch0_neuron0,	12.7280
_ch0_neuron0,	13.5135
_ch0_neuron0,	14.3250
_ch0_neuron0,	15.2229
_ch0_neuron0,	16.1530
_ch0_neuron0,	17.0994
_ch0_neuron0,	18.0285
_ch0_neuron0,	18.9230
_ch0_neuron0,	19.7809
_ch0_neuron0,	20.6164
_ch0_neuron0,	21.4292
_ch0_neuron0,	22.1948
_ch0_neuron0,	22.9540
_ch0_neuron0,	23.7126
_ch0_neuron0,	24.5235
_ch0_neuron0,	25.3523
_ch0_neuron0,	26.2092
_ch0_neuron0,	27.0877
_ch0_neuron0,	27.9306
_ch0_neuron0,	28.7370
_ch0_neuron0,	29.5176
_ch0_neuron0,	30.2691
_ch0_neuron0,	31.0321
_ch0_neuron0,	31.8066
_ch0_neuron0,	32.5659
_ch0_neuron0,	33.3541
_ch0_neuron0,	36.9037
_ch0_neuron0,	37.8150
_ch0_neuron0,	38.6761
_ch0_neuron0,	39.4929
_ch0_neuron0,	40.2652
_ch0_neuron0,	41.0247
_ch0_neuron0,	41.8019
_ch0_neuron0,	42.5929
_ch0_neuron0,	43.4055
_ch0_neuron0,	44.2353
_ch0_neuron0,	45.1548
_ch0_neuron0,	46.0837
_ch0_neuron0,	47.0059
_ch0_neuron0,	47.9067
_ch0_neuron0,	48.7913
_ch0_neuron0,	49.6524
_ch0_neuron0,	50.4919
_ch0_neuron0,	51.3256
_ch0_neuron0,	52.1364
_ch0_neuron0,	52.9112
_ch0_neuron0,	53.6862
_ch0_neuron0,	54.4927
_ch0_neuron0,	55.3498
_ch0_neuron0,	56.2445
_ch0_neuron0,	57.1428
_ch0_neuron0,	58.0207
_ch0_neuron0,	58.8497
_ch0_neuron0,	59.6432
_ch0_neuron0,	60.3994
_ch0_neuron0,	61.1528
_ch0_neuron0,	61.9576
_ch0_neuron0,	62.7396
_ch0_neuron0,	63.5492
_ch0_neuron0,	64.4017
_ch0_neuron0,	65.3066
_ch0_neuron0,	66.2290
_ch0_neuron0,	67.1240
_ch0_neuron0,	68.0167
_ch0_neuron0,	68.8856
_ch0_neuron0,	69.7220
_ch0_neuron0,	70.5156
_ch0_neuron0,	71.3224
_ch0_neuron0,	72.1867
_ch0_neuron0,	73.0157
_ch0_neuron0,	75.4721
_ch0_neuron0,	76.3354
_ch0_neuron0,	77.2091
_ch0_neuron0,	78.0362
_ch0_neuron0,	78.8511
_ch0_neuron0,	79.6220
_ch0_neuron0,	80.3951
_ch0_neuron0,	81.2098
_ch0_neuron0,	82.0711
_ch0_neuron0,	82.8706
_ch0_neuron0,	83.6692
_ch0_neuron0,	84.5232
_ch0_neuron0,	87.2919
_ch0_neuron0,	88.1869
_ch0_neuron0,	89.0400
_ch0_neuron0,	89.8642
_ch0_neuron0,	90.6662
_ch0_neuron0,	91.4461
_ch0_neuron0,	92.2124
_ch0_neuron0,	92.9608
_ch0_neuron0,	93.7146
_ch0_neuron0,	95.3852
_ch0_neuron0,	96.2111
_ch0_neuron0,	97.0141
_ch0_neuron0,	97.8037
_ch0_neuron0,	98.5694
_ch0_neuron0,	99.3274
_ch0_neuron0,	100.0942
_ch0_neuron0,	100.8703
_ch0_neuron0,	101.6710
_ch0_neuron0,	108.0037
_ch0_neuron0,	108.8271
_ch0_neuron0,	109.6530
_ch0_neuron0,	110.5080
_ch0_neuron0,	111.3498
_ch0_neuron0,	112.1730
_ch0_neuron0,	112.9924
_ch0_neuron0,	113.8328
_ch0_neuron0,	114.8258
_ch0_neuron0,	115.8634
_ch0_neuron0,	116.9059
_ch0_neuron0,	117.9407
_ch0_neuron0,	118.9481
_ch0_neuron0,	119.9180
_ch0_neuron0,	120.8484
_ch0_neuron0,	121.7486
_ch0_neuron0,	122.6090
_ch0_neuron0,	123.4355
_ch0_neuron0,	124.2947
_ch0_neuron0,	126.1299
_ch0_neuron0,	127.0569
_ch0_neuron0,	127.9596
_ch0_neuron0,	128.8196
_ch0_neuron0,	129.6694
_ch0_neuron0,	130.4995
_ch0_neuron0,	131.3316
_ch0_neuron0,	132.1266
_ch0_neuron0,	132.9239
_ch0_neuron0,	133.7257
_ch0_neuron0,	134.5643
_ch0_neuron0,	136.3639
_ch0_neuron0,	137.2624
_ch0_neuron0,	138.1524
_ch0_neuron0,	139.0256
_ch0_neuron0,	139.8722
_ch0_neuron0,	140.7092
_ch0_neuron0,	141.5359
_ch0_neuron0,	142.3743
_ch0_neuron0,	143.1676
_ch0_neuron0,	148.3442
_ch0_neuron0,	149.2309
_ch0_neuron0,	150.0851
_ch0_neuron0,	150.9186
_ch0_neuron0,	151.7378
_ch0_neuron0,	152.5493
_ch0_neuron0,	153.3244
_ch0_neuron0,	154.0935
_ch0_neuron0,	154.9031
_ch0_neuron0,	155.8028
_ch0_neuron0,	156.7364
_ch0_neuron0,	157.6653
_ch0_neuron0,	158.5893
_ch0_neuron0,	159.4840
_ch0_neuron0,	160.3587
_ch0_neuron0,	161.2010
_ch0_neuron0,	162.0115
_ch0_neuron0,	162.8060
_ch0_neuron0,	163.5856
_ch0_neuron0,	164.3687
_ch0_neuron0,	165.1878
_ch0_neuron0,	166.1103
_ch0_neuron0,	167.0522
_ch0_neuron0,	167.9334
_ch0_neuron0,	168.7860
_ch0_neuron0,	169.6043
_ch0_neuron0,	170.4079
_ch0_neuron0,	171.2051
_ch0_neuron0,	172.0220
_ch0_neuron0,	172.8379
_ch0_neuron0,	173.6320
_ch0_neuron0,	174.4195
_ch0_neuron0,	175.2371
_ch0_neuron0,	176.1173
_ch0_neuron0,	177.0235
_ch0_neuron0,	177.9183
_ch0_neuron0,	178.7794
_ch0_neuron0,	179.5823
_neuron0threshhig11976,	0.0000
_neuron0threshlow7927,	0.0000
